date,precip,t_max,t_min,t_mean,s,rh_830,rh_1430,ws
07-06-1981,37.75,24,15,19.5,2.42,100,74,6.37
08-06-1981,5.42,23,14,18.5,2.57,100,73,4.04
09-06-1981,0,26,14,20,2.9,91,71,5.17
10-06-1981,161.5,22,18,20,0.83,100,87,3.76
11-06-1981,13.36,21,19,20,0.6,100,98,6.08
12-06-1981,41.41,20,19,19.5,0.1,100,100,7.9
13-06-1981,39.3,19,18,18.5,0.1,100,100,6.8
14-06-1981,54.09,18,17,17.5,0.1,100,100,1.89
15-06-1981,0,23,17,20,1.72,76,81,5.96
16-06-1981,12.83,23,19,21,0.86,100,85,6.2
17-06-1981,138.54,22,18,20,1.43,100,88,3.61
18-06-1981,74.98,20,18,19,0.49,100,97,4.67
19-06-1981,4.98,21,17,19,1.12,100,88,4.38
20-06-1981,0,25,17,21,2.67,79,76,5.61
21-06-1981,7.27,17,16,16.5,0.79,100,100,6.11
22-06-1981,19.4,20,14,17,1.75,100,85,5.35
23-06-1981,6.16,20,14,17,1.65,100,81,4.78
24-06-1981,63.9,20,15,17.5,1.36,100,86,5.96
25-06-1981,5.45,20,15,17.5,1.32,100,87,5.6
26-06-1981,10.25,18,16,17,0.1,100,100,5.13
27-06-1981,120.9,18,17,17.5,0.1,100,100,3.33
28-06-1981,51.54,18,16,17,0.1,100,100,6.85
29-06-1981,21.55,17,15,16,0.1,100,100,3.95
30-06-1981,22.01,17,16,16.5,1.01,100,100,5.45
01-07-1981,0,24,16,20,2.46,81,76,3.15
02-07-1981,0,23,18,20.5,1.61,73,84,6.7
03-07-1981,8.48,17,16,16.5,0.1,100,100,4.27
04-07-1981,117.51,16,15,15.5,0.1,100,100,4.99
05-07-1981,21.06,17,15,16,0.86,100,100,5.78
06-07-1981,240.06,19,17,18,0.77,100,97,6.91
07-07-1981,26.81,18,16,17,0.6,100,98,4.96
08-07-1981,47.86,18,15,16.5,0.77,100,94,2
09-07-1981,8.94,18,16,17,0.1,100,100,7.41
10-07-1981,14.19,17,16,16.5,0.1,100,100,3.13
11-07-1981,57.31,20,16,18,0.61,100,89,5.76
12-07-1981,27.23,19,15,17,1.44,100,87,7.36
13-07-1981,6.91,18,17,17.5,0.18,100,100,4.48
14-07-1981,14.53,17,16,16.5,0.29,100,100,7.64
15-07-1981,2.76,18,17,17.5,0.65,100,100,7.65
16-07-1981,14.88,17,14,15.5,1.46,100,97,4.16
17-07-1981,3.81,19,15,17,1.65,100,90,6.61
18-07-1981,15.86,21,16,18.5,1.3,100,84,2.52
19-07-1981,4.37,19,15,17,0.73,100,93,7.18
20-07-1981,24.72,20,18,19,0.18,100,95,4.63
21-07-1981,11.44,20,18,19,0.1,100,98,4.33
22-07-1981,43.82,22,17,19.5,0.59,100,85,3.14
23-07-1981,51.41,18,16,17,0.1,100,99,3.15
24-07-1981,54.56,18,17,17.5,0.1,100,100,2.6
25-07-1981,2,19,16,17.5,0.73,100,96,5.35
26-07-1981,9.74,19,15,17,0.96,100,91,7.38
27-07-1981,10.98,21,16,18.5,1.04,100,84,4.98
28-07-1981,140.44,17,16,16.5,0.1,100,100,3.66
29-07-1981,0,20,19,19.5,0.1,69,100,7.19
30-07-1981,30.84,17,16,16.5,0.3,100,100,6.08
31-07-1981,26.32,20,15,17.5,1.02,100,88,6.81
01-08-1981,37.04,19,15,17,0.61,100,92,2.99
02-08-1981,33.39,21,14,17.5,1.6,100,78,8.26
03-08-1981,23.81,23,16,19.5,1.2,100,78,3.56
04-08-1981,13.47,19,15,17,0.41,100,93,6.41
05-08-1981,1.06,19,16,17.5,0.42,100,95,3.23
06-08-1981,10.57,21,16,18.5,0.55,100,85,3.19
07-08-1981,67.22,19,12,15.5,1.39,100,80,5.32
08-08-1981,29.73,17,16,16.5,0.1,100,100,2.59
09-08-1981,39.23,18,15,16.5,0.68,100,93,6.54
10-08-1981,8.28,20,15,17.5,1.25,100,84,4.24
11-08-1981,13.49,23,14,18.5,1.78,100,75,4.72
12-08-1981,1.98,22,16,19,1.17,100,82,7.76
13-08-1981,4.66,18,17,17.5,0.1,100,100,5.33
14-08-1981,52.09,17,14,15.5,0.47,100,97,4.53
15-08-1981,3.42,17,16,16.5,0.42,100,100,2.43
16-08-1981,28.11,22,15,18.5,1.08,100,80,6.1
17-08-1981,3.63,20,15,17.5,0.71,100,88,4
18-08-1981,57.58,19,16,17.5,0.53,100,95,5.32
19-08-1981,16.74,18,16,17,0.14,100,100,3.27
20-08-1981,22.33,19,16,17.5,0.63,100,94,6.34
21-08-1981,4.57,21,17,19,0.53,100,89,5.39
22-08-1981,53.57,21,17,19,0.99,100,87,4.93
23-08-1981,13.61,19,16,17.5,0.92,100,99,5.9
24-08-1981,2.71,19,13,16,1.85,100,81,6.25
25-08-1981,26.19,21,14,17.5,1.78,100,80,5.05
26-08-1981,24.7,19,17,18,0.63,100,97,5.37
27-08-1981,38.09,22,16,19,0.96,100,83,4.14
28-08-1981,79.87,18,15,16.5,0.23,100,96,2.87
29-08-1981,32.4,19,14,16.5,0.93,100,89,5.55
30-08-1981,42.53,21,13,17,2.05,100,75,5.39
31-08-1981,152.19,21,15,18,1.77,100,82,3.15
01-09-1981,20.06,23,13,18,2.44,100,72,5.24
02-09-1981,0,24,11,17.5,2.7,100,68,3.21
03-09-1981,0,22,13,17.5,2.14,90,73,5.35
04-09-1981,1.73,21,13,17,1.89,100,77,2.94
05-09-1981,8.41,20,14,17,2.24,100,80,2.85
06-09-1981,4.3,20,13,16.5,1.93,100,78,4.58
07-09-1981,24.63,27,15,21,2.66,100,71,4.03
08-09-1981,0.53,23,13,18,2.44,100,72,3.24
09-09-1981,0.78,23,13,18,2.78,100,71,0.29
10-09-1981,1.63,23,14,18.5,2.31,100,75,2.65
11-09-1981,3.98,21,15,18,1.87,100,81,5.49
12-09-1981,17.74,23,16,19.5,1.76,100,78,2.62
13-09-1981,1.85,23,16,19.5,1.79,100,78,3.41
14-09-1981,1.27,22,15,18.5,1.74,100,78,4.89
15-09-1981,31.44,23,16,19.5,1.81,100,79,5.04
16-09-1981,2.52,21,15,18,1.55,100,83,4.1
17-09-1981,32.66,22,16,19,1.47,100,81,1.97
18-09-1981,13.1,19,18,18.5,0.25,100,100,3.41
19-09-1981,1.36,17,15,16,0.98,100,100,3.92
20-09-1981,2.55,18,15,16.5,0.75,100,94,2.3
21-09-1981,5.44,17,16,16.5,0.1,100,100,4.54
22-09-1981,12.65,19,15,17,0.54,100,90,4.53
23-09-1981,10.05,20,16,18,1.18,100,88,2.69
24-09-1981,10.1,21,15,18,1.74,100,82,3.5
25-09-1981,28.89,20,18,19,0.47,100,99,3.87
26-09-1981,35.54,20,18,19,0.52,100,97,3.28
27-09-1981,3.39,21,20,20.5,0.1,100,100,3.55
28-09-1981,0,25,19,22,2.08,72,81,4.97
29-09-1981,35.37,19,15,17,1.21,100,88,4.34
30-09-1981,0.48,20,18,19,0.34,100,99,2.13
01-10-1981,3.49,19,15,17,0.97,100,91,4.33
02-10-1981,0,21,16,18.5,1.34,77,83,2.58
03-10-1981,0,20,18,19,0.87,71,99,2.48
04-10-1981,0,19,17,18,1.02,74,97,1.59
05-10-1981,0,19,16,17.5,0.77,75,97,2.16
06-10-1981,1.82,15,14,14.5,0.22,100,100,1.8
07-10-1981,10.44,17,15,16,0.68,100,100,2.54
08-10-1981,5.5,19,16,17.5,0.83,100,99,0.93
09-10-1981,15.09,20,16,18,1.15,100,89,2.11
10-10-1981,25.92,23,16,19.5,1.8,100,79,2.3
11-10-1981,14.87,22,16,19,2.05,100,81,2.07
12-10-1981,3.87,21,16,18.5,1.46,100,86,1.43
