YPH,Tmin,Tmax,RH830,RH1430,RF,Rday,S,Sday,W,ETo,clud
126,15.1,25.2,86,78,14,5,4.16,27,1.85,87.2970329,1.414516153
101,13.6,27.9,87,45,18,5,5.05,27,1.48,93.12968841,0.710490574
141,17.6,30.5,87,55,22,5,4.82,26,1.6,113.9240594,0.804121057
208,18.6,31.6,87,66,77,8,4.56,25,1.75,117.1406592,0.776524119
229,19.7,27.6,86,63,88,8,4.79,24,1.72,110.4763228,2.290776393
172,19.3,24.7,88,86,597,32,0.45,7,2.29,69.8737738,3.629370062
171,18.3,28.2,87,80,42,6,0.6,26,1.9,81.75864426,1.342810298
136,18.4,25.2,91,80,173,12,4.08,21,2.02,94.44433955,2.840817205
159,17.7,27.1,88,77,85,8,4.88,24,1.9,103.7967014,1.562624798
245,18.4,24.7,92,78,121,10,4.13,23,1.98,88.32948014,3.214288176
178,17.9,24.1,90,82,160,12,3.35,22,2.02,76.16441414,3.3324667
156,16.2,24.7,85,64,36,6,5.17,26,1.69,89.64391073,2.139428434
100,14.5,25.6,86,54,0,0,5.89,30,1.57,95.83584312,1.15470914
60,15.7,28.6,92,43,20,1,5.7,29,1.52,95.3478605,0.835156163
61,15.5,31.5,86,28,0,0,5.89,30,1.28,123.4834316,0.673891065
92,20.3,32,88,53,91,12,5.01,21,1.63,118.4828668,0.980581197
219,19.6,29.1,93,72,213,17,3.83,18,1.97,102.3503753,1.57698515
182,20,26,92,80,598,27,0.11,11,2.27,66.6092085,3.334778288
130,19,24,91,76,588,28,0.2,10,2.2,66.40755509,3.82470611
117,19,24,92,85,266,19,3.32,16,2.14,84.69399725,3.817734264
116,18.6,25.8,93,82,270,19,3.28,16,2.12,84.54348038,2.623465438
177,18.1,26.7,93,78,335,14,2.65,20,2.11,82.85161211,1.890405463
153,18.5,25.5,92,83,369,16,2.33,19,2.17,72.401951,2.786596192
140,15.5,24.8,87,65,28,6,5.62,26,1.72,91.87504507,1.667382562
82,13,25.6,86,45,0,0,5.89,30,1.47,96.06787146,0.826121475
76,14.6,28,84,48,33,2,5.57,29,1.5,98.80594165,0.760610983
151,15.5,25.8,89,48,75,6,5.16,26,1.58,101.8697206,1.341204407
198,19,31,90,52,71,6,5.21,26,1.63,114.1467124,0.896724053
209,19.4,30,91,70,122,10,4.71,23,1.87,112.2300986,1.164513963
203,20.8,26.4,86,75,262,25,3.35,12,1.95,93.00006498,3.500914695
147,21.3,24.1,91,80,430,27,1.73,11,2.16,75.77049637,4.683624046
121,20,25.4,92,77,175,16,4.2,19,1.99,94.29146986,3.568443563
193,18.6,26.6,93,73,113,13,4.8,21,1.93,97.12475534,2.148774037
204,19,26.2,91,73,339,22,2.61,14,2.03,82.59428522,2.627761295
197,19.3,25.9,90,77,267,16,3.31,19,2.02,79.88820723,3.014903227
185,17.6,24.8,91,68,43,8,5.47,24,1.81,87.37976057,2.729034538
165,15.6,25.8,90,56,22,2,0,29,1.65,62.30846471,1.346068623
134,15.7,28.3,90,59,25,4,0,27,1.69,65.10883055,0.830598591
143,15.4,29.8,90,43,26,1,8.5,31,1.51,136.5861788,0.699488917
183,19.9,30.5,90,65,126,12,6.2,30,1.81,121.1985207,1.163877991
212,19.6,30,90,64,59,9,5.26,29,1.76,117.5002638,1.191635443
162,18.9,25.6,89,79,354,25,2.4,16,2.08,83.51372229,2.884381709
151,18.7,24.2,94,81,690,29,1.33,13,2.35,69.55005687,3.528739648
131,19,25.2,93,80,291,22,2.4,16,2.1,80.4579803,3.119342912
173,18,26.2,92,77,215,15,3.48,24,2.02,88.40438425,2.064276736
216,18.4,26.5,91,77,346,19,3.25,25,2.08,88.34121881,2.199724176
192,17.8,24.5,90,76,190,12,3.1,22,1.97,76.33404407,3.030318526
150,15,25.2,88,59,3,1,5.32,30,1.65,89.34757607,1.407585253
109,15.8,25.8,83,61,47,3,6.1,29,1.64,99.17600426,1.506587893
95,16.9,28.2,83,44,0,0,7,28,1.42,106.6494504,1.124065363
105,16.1,28.9,85,43,118,7,7.1,31,1.5,126.8729309,0.851230617
203,20,30.1,84,54,79,11,5.4,30,1.59,117.9754971,1.443850033
237,19.3,29.2,92,72,297,15,0.3,23,2.01,78.65635363,1.468497007
215,19.5,26.3,90,79,367,22,1.1,14,2.1,75.85084169,2.904450324
153,19.2,22.9,92,83,375,24,1.1,11,2.18,67.84936503,4.409235919
142,18.6,27.4,92,85,329,20,2.3,13,2.17,86.97305526,1.783288625
151,18.2,25.2,93,71,241,13,3.2,19,1.98,83.20630839,2.74225589
237,18.9,27,93,66,258,12,3.1,24,1.93,85.52129038,2.196144654
193,18,26.1,92,71,140,13,3.4,23,1.91,79.81678468,2.264991964
149,14.5,26.6,86,49,0,0,7,31,1.51,103.3352642,0.906225938
121,14.3,26.5,88,50,37,1,6.2,30,1.57,99.37978848,0.894194614
83,14.3,28.5,88,47,9,2,7.63,29,1.52,108.7625623,0.715210511
86,16.5,30.8,87,36,57,3,7.42,30,1.41,133.1539663,0.707758003
176,19.2,29.8,91,61,157,13,5.01,30,1.79,110.2846619,1.206073211
264,20,30,87,62,58,5,5.53,30,1.7,120.7976356,1.345761995
167,18.5,27.1,91,68,346,19,3.11,17,1.98,90.74702993,1.871919305
159,18.6,20.7,93,73,475,25,1.48,11,2.13,65.82093508,4.851241301
142,19.2,25.6,90,73,233,22,2.04,17,1.96,81.17656843,3.02967375
135,19.2,24.5,93,78,257,19,1.21,14,2.06,69.44205333,3.630816713
163,17.8,24.1,93,82,277,17,4.23,23,2.12,85.02257876,3.122523718
203,19.8,26.4,87,73,72,8,5,26,1.84,92.62233064,2.979411042
173,16,24.7,89,71,73,7,5,21,1.84,87.17520513,1.921263774
146,14.7,26,82,52,9,1,8.35,31,1.51,111.9509317,1.032334472
118,14.8,28.7,87,44,0,0,3.53,28,1.47,86.19353581,0.71811702
103,17.9,30.2,86,45,53,7,8.16,31,1.5,138.3365683,0.838026014
133,18.9,27.9,89,62,124,8,6.2,30,1.76,115.3534095,1.716072716
242,19.7,28,90,75,180,8,5.18,29,1.95,108.7102007,1.986082768
202,20.9,28.6,89,65,184,11,4.44,22,1.83,102.3375777,2.226361584
155,19.9,23.4,91,87,392,31,2.12,8,2.22,77.74868138,4.426882222
176,19.8,23.8,84,83,260,21,2.18,13,2.02,84.98313247,4.217646425
140,20.3,26.7,90,74,163,11,5.08,26,1.94,101.0832862,2.929807957
147,18.5,27.7,91,68,519,25,5.04,31,2.07,103.2043352,1.550024457
181,19.2,26.1,90,68,331,22,2.51,24,1.96,75.24996875,2.765124573
202,20,25.2,89,75,113,12,4.4,27,1.9,83.81504232,3.755493976
125,17,27,87,61,27,1,7.11,31,1.67,106.2359569,1.373242687
107,17.4,29.5,90,48,6,1,7.43,28,1.54,108.9148415,0.869621198
104,18.2,32.1,86,40,0,0,8.58,31,1.41,146.2631724,0.711083205
199,20.8,32.6,86,51,58,6,6.25,29,1.57,130.6293042,0.889355445
245,21.9,30.1,87,51,67,6,4.52,25,1.58,112.9948922,2.050875426
196,21.5,28.4,89,78,423,24,2.4,16,2.11,88.90616326,2.729017694
148,20.6,26.5,89,82,320,23,1.56,13,2.1,81.94769584,3.29071342
121,19.6,26.8,90,83,291,21,2.08,15,2.11,86.14128339,2.565610684
166,19.6,25.7,91,86,259,20,1.1,10,2.14,72.71189956,3.208286198
220,19.3,26.3,90,84,464,17,2.55,18,2.21,83.61801903,2.758199823
216,18.3,27.4,89,67,284,13,5,24,1.91,94.25456696,1.729203057
188,17.3,25.8,90,69,102,6,4,22,1.84,83.33286316,2.058920848
121,14.4,26.7,91,55,5,1,7,31,1.64,102.877057,0.862390648
125,16.4,27.7,88,52,32,3,7.5,28,1.59,105.3815194,1.058093016
138,17.2,30.9,90,50,8,2,8.5,31,1.57,141.0955562,0.738009335
167,19.5,28.9,84,64,66,10,3.4,19,1.7,103.0203987,1.666534896
186,19.2,26.6,89,75,332,18,2.5,17,2.03,89.90903383,2.58544498
183,18.6,26,91,72,270,16,3.2,17,1.98,86.15841594,2.519400155
175,18.7,24.7,90,77,364,23,1,8,2.08,72.87497466,3.281021762
147,18.8,26.3,91,73,123,14,1.2,18,1.91,76.88452784,2.443296551
207,18.4,27.1,91,75,112,10,4,24,1.93,95.08164562,1.856065927
206,18.7,26.4,91,80,473,27,1.4,17,2.18,76.42794318,2.397335516
195,16.6,27,89,68,86,9,5,22,1.81,93.78760897,1.257590628
196,15.9,25.7,88,65,21,3,6.4,31,1.73,96.42439524,1.506951237
127,15.8,26.6,84,61,19,4,6.4,25,1.64,103.089685,1.187429893
143,17.2,26.7,87,77,234,9,5,25,1.97,90.87307181,1.638383933
250,18,30,90,58,5,1,8.15,31,1.66,134.8586055,0.911995217
201,20.2,30.4,89,60,67,6,7,30,1.71,127.7543941,1.316155624
196,20.3,30,89,67,86,8,6,31,1.8,123.8642705,1.453146179
159,18.8,25,89,81,458,24,1.5,11,2.16,76.43409775,3.180920137
150,19.1,26.5,90,72,169,15,3.4,21,1.91,92.27310981,2.48176749
148,19.2,23.7,94,84,530,26,1.32,11,2.3,68.79069268,4.051011346
145,20.6,26.9,92,78,104,10,3.3,27,1.97,87.64230801,3.11493247
200,18.3,27,90,75,93,11,3.5,23,1.9,92.21807878,1.870116577
162,17.9,26.8,89,73,104,8,4.2,20,1.88,88.39094138,1.807762968
149,15.8,26.1,89,66,167,3,6,26,1.83,95.31420478,1.295630569
