YPH,Tmin,Tmax,RH830,RH1430,RF,Rday,S,Sday,W,S830,S1430,Sm,ETo,clud,Kc,erf,Tphoto,Tnicto
632.21,18.77383513,24.58315412,98.35734767,71.73225806,3443.7,87,2.02,28,1.400458234,16.019675,16.22484451,0.800059101,73.83032101,3.309786592,84.90486917,2755.2,23.13082437,20.22616487
532.41,18.12688172,23.49820789,96.48817204,72.2562724,1105.5,34,3.926666667,74,1.367343653,17.99213584,18.2128645,0.878900161,79.5083198,3.574332576,91.43456777,884,22.15537634,19.46971326
621.93,15.29166682,25.13598688,91.93334041,53.50558986,44.7,17,7.483333333,90,1.327421514,16.50473612,16.71501183,0.753131652,98.18175102,1.75701379,112.9090137,35.2,22.67490687,17.75274684
747.27,15.38507424,27.89416283,95.79173067,52.13445981,323.2,62,5.403333333,77,1.387216115,14.31414157,14.52347112,0.732739424,106.1947945,0.880677921,122.1240136,259.2,24.76689068,18.51234639
694.16,19.05663082,23.92544803,97.71792115,76.79283154,2690.5,83,3.526666667,57,1.3881935,16.53033975,16.74492368,0.843358566,83.47724483,3.66259808,95.99883155,2152.8,22.70824373,20.27383513
678.92,17.3734767,22.80215054,99.17777778,73.76774194,954.6,48,4.636666667,76,1.385835157,17.61512198,17.83767642,0.896028668,80.11697164,3.476650747,92.13451739,764.8,21.44498208,18.73064516
804.64,13.90215054,23.94802867,97.97921147,57.2609319,224.2,11,7.783333333,87,1.376951234,15.80585926,16.02907288,0.814922183,93.92600402,1.635636486,108.0149046,179.2,21.43655914,16.41362007
799.18,13.92670251,26.26226318,98.79037378,48.41666667,489.7,64,4.106666667,67,1.398996037,13.09066548,13.311497,0.736031301,92.75215809,1.098528042,106.6649818,392,23.17837302,17.01059268
582.73,17.31756272,21.98673835,96.95017921,76.64193548,3387.9,76,2.163333333,44,1.36326156,14.5927329,14.81438555,0.848010735,70.97206706,3.814656853,81.61787712,2710.4,20.81944444,18.48485663
574.62,16.13476703,22.46702509,96.52616487,74.83763441,934.8,37,5.876666667,87,1.35543627,16.40163473,16.62001543,0.875117094,88.16828439,3.095115163,101.393527,748,20.88396057,17.71783154
654.63,11.02114695,24.01899642,95.49318996,55.88924731,10,5,7.433333333,90,1.355357294,14.0047828,14.22363919,0.809686995,94.29906474,1.012928825,108.4439245,8,20.76953405,14.27060932
724.19,13.64285714,27.11924603,98.64365079,54.54126984,567.4,47,3.8,69,1.414570107,10.59274665,10.80812582,0.738743561,91.91352718,0.977641602,105.7005563,453.6,23.75014881,17.01195437
724.2,18.28530466,23.17168459,98.87096774,83.69139785,2566.3,62,2.5,44,1.394288278,14.92882401,15.15004135,0.887033229,73.28564077,3.900264882,84.27848689,2053.6,21.95008961,19.50689964
647.04,16.46707453,23.03177163,92.15343259,70.46372445,664.3,24,6.033333333,86,1.307222472,17.12500786,17.34105796,0.863790651,93.4104031,3.109325229,107.4219636,532,21.39059736,18.1082488
632.18,11.95519713,25.23655914,98.05125448,55.08136201,14.7,4,8.266666667,91,1.399081085,14.35754622,14.57220844,0.79813094,100.69035,1.132669116,115.7939025,12,21.91621864,15.27553763
714.44,14.17053251,28.3187148,94.46728111,50.48474142,424.7,37,5.366666667,77,1.379651186,11.35853699,11.57585172,0.720932141,108.8074411,1.197915897,125.1285573,340,24.78166923,17.70757808
703.33,18.07992832,23.86594982,89.22724014,71.16487455,1930.4,75,1.7,40,1.286605887,15.43754934,15.63840928,0.778944878,76.70987956,3.458830126,88.21636149,1544,22.41944444,19.52643369
623.56,16.38673835,22.90573477,91.87526882,81.50716846,706.1,26,5.166666667,74,1.311670065,17.19231784,17.39764516,0.885566729,88.47845436,3.213711789,101.7502225,564.8,21.27598566,18.01648746
741.68,12.20071685,24.07956989,87.13405018,69.11541219,138,7,7.81,90,1.26579994,14.48287216,14.68429271,0.802040424,99.59275939,1.576570842,114.5316733,109.6,21.10985663,15.17043011
