YPH,Tmin,Tmax,RH830,RH1430,RF,Rday,S,Sday,W,S830,S1430,Sm,ETo,clud,Kc,erf,Tphoto,Tnicto
485.32,30.73333333,18.3,93.9,70.6,270.6,14,8.929631067,91.13871845,1.89584625,28.4472963,28.53157407,0.824755,0.93946089,141.8060632,163.0769727,216.48,21.40833333,27.625
558.2,24.66666667,18.93333333,97.66666667,86.56666667,2573.5,77,3.252917067,62.96329127,2.55025125,24.16821481,24.26778704,0.9426125,3.377117151,78.00862948,89.70992391,2058.8,20.36666667,23.23333333
581.09,25.86666667,18.16666667,96.96666667,82.7,712.6,44,7.835228933,88.7054869,2.14990875,19.4770037,19.59312963,0.904271667,2.432210617,104.2328385,119.8677643,570.08,20.09166667,23.94166667
526.86,29.36666667,14.7,91.1,61.83333333,11.2,2,9.533585733,90.39597612,1.7176425,25.42527037,25.51781481,0.76476,0.72248514,120.4185812,138.4813684,8.96,18.36666667,25.7
596.51,30.46666667,19,95.36666667,74.1,318.3,25,8.8165968,91.09829463,1.96061625,29.4761963,29.5487963,0.849985833,1.153163641,138.4401229,159.2061413,254.64,21.86666667,27.6
622.69,24.96666667,18.8,97.63333333,85.66666667,2032.3,75,4.5865088,72.49707822,2.4382575,25.33940741,25.43899074,0.933435833,3.388685336,87.98036774,101.1774229,1625.84,20.34166667,23.425
657.58,26.6,17.86666667,96.4,82.1,439.2,45,8.506581333,90.67819626,2.0854725,21.13266296,21.2472963,0.89616,2.209277194,111.0906336,127.7542287,351.36,20.05,24.41666667
620.27,29.13333333,16.03333333,94.76666667,67.4,60.5,6,9.4235636,90.08161164,1.8306375,26.11850741,26.21528704,0.8113375,0.986386166,116.5644424,134.0491088,48.4,19.30833333,25.85833333
552.08,30.5,18.43333333,95.26666667,72.7,381.2,27,8.655878,91.14993836,1.955595,29.73280741,29.8075,0.84301,1.238887433,138.5031219,159.2785902,304.96,21.45,27.48333333
505.99,24.5,18.46666667,96.2,87.1,2990.5,79,3.003120133,58.81424502,2.61801,23.00054074,23.10312037,0.941420833,3.43992941,78.49550099,90.26982614,2392.4,19.975,22.99166667
602.55,26.23333333,17.8,96.23333333,81.63333333,945.6,48,7.2567744,86.04996485,2.17334625,18.42204074,18.53791667,0.897213333,2.43617696,102.3200553,117.6680636,756.48,19.90833333,24.125
510.01,29.63333333,15.53333333,94.13333333,65.86666667,3.6,1,9.560106133,90.37708437,1.79559375,25.4885,25.58225926,0.80003,0.900448445,119.7789474,137.7457896,2.88,19.05833333,26.10833333
544.98,30.48333333,18.42666667,95.00333333,73.22333333,338.63,27,8.760510933,90.86592168,1.95054075,30.02507963,30.1003287,0.84395525,1.411768803,139.5741222,160.5102405,270.904,21.44083333,27.46916667
627.54,22.64333333,17.42666667,93.00666667,78.75333333,1737.51,69,5.053166933,75.16400052,2.25357525,24.96370259,25.06123333,0.87327925,3.947173392,90.89624745,104.5306846,1390.008,18.73083333,21.33916667
646.22,24.36,15.51,92.83666667,76.15666667,710.91,33,7.815118533,88.47193694,2.02998525,17.86140074,17.96160648,0.850890917,2.530020969,104.4824622,120.1548315,568.728,17.7225,22.1475
542.99,30.53666667,11.60333333,83.05333333,61.49333333,11.96,1,9.509025823,91.3431421,1.62365175,25.66511667,25.75007963,0.722833,0.674931882,129.4412467,148.8574338,9.568,16.33666667,25.80333333
561.91,31.31333333,17.02333333,94.02,71.20666667,262.91,21,7.192476751,83.7968955,1.90265775,30.75434704,30.82878333,0.82832425,1.065225222,131.970526,151.7661048,210.328,20.59583333,27.74083333
655.45,24.92,17.74333333,94.65,85.82,1922.58,65,4.846323484,73.55372642,2.385971625,25.65031926,25.75032963,0.9183715,3.239063354,93.67067907,107.7212809,1538.064,19.5375,23.12583333
676.44,26.34666667,16.94333333,95.06666667,83.24333333,611.36,41,8.07289266,89.16844211,2.115747375,20.88757556,21.00631389,0.896644667,2.329638962,108.6768569,124.9783854,489.088,19.29416667,23.99583333
622.06,29.12666667,14.48,94.69333333,69.10666667,156.59,8,9.173100863,89.46885376,1.867204875,25.71810519,25.82000093,0.820304917,0.940597538,116.548776,134.0310924,125.272,18.14166667,25.465
582.75,31.25333333,16.26333333,92.00333333,72.24,280.19,21,8.884385867,91.05125505,1.8949275,29.80405,29.88242222,0.823551583,0.786939529,146.4583246,168.4270733,224.152,20.01083333,27.50583333
673.46,26.58,17.94,94.72,84.34,2192.67,76,4.181975733,69.26966003,2.420542125,26.58771111,26.68700556,0.91357225,2.366408239,93.68812463,107.7413433,1754.136,20.1,24.42
731.12,26.8,18.69333333,97.43666667,84.65666667,568.85,46,8.194471333,89.85598422,2.150091375,21.61569963,21.73060463,0.915207083,2.666954258,109.1963665,125.5758215,455.08,20.72,24.77333333
715.3,30.15333333,16.93,95.39666667,71.34,81,9,9.381028267,89.93878975,1.885678125,26.11090481,26.21592407,0.834358333,1.078695876,119.5616185,137.4958613,64.8,20.23583333,26.8475
636.59,30.95,19.71333333,94.18666667,75.09,212.2,16,9.085768133,90.96114102,1.938450375,30.19243889,30.27757407,0.848151667,1.365604541,143.4870412,165.0100974,169.76,22.5225,28.14083333
675.93,25.77,19.17666667,97.64,87.44666667,1969.23,73,4.745655467,72.58708576,2.446399125,26.07573259,26.17926111,0.941843583,3.280294676,91.62396753,105.3675627,1575.384,20.825,24.12166667
573.79,25.95333333,18.14,96.70666667,84.90333333,658.23,46,7.969039467,89.06523993,2.161570125,21.31109741,21.43144537,0.91353525,2.76757725,105.4673582,121.2874619,526.584,20.09333333,24
573.22,30.25333333,15.93666667,94.79,67.80666667,89.23,9,9.351669403,89.98782984,1.84074675,25.86216778,25.96424074,0.813726917,0.926605835,120.2041904,138.2348189,71.384,19.51583333,26.67416667
539.48,29.97,18.70666667,95.96,77.57333333,407.17,29,8.594221907,89.97378659,2.02311825,30.5245337,30.60283519,0.87105975,1.656292537,135.7568945,156.1204287,325.736,21.5225,27.15416667
630.32,26.48666667,18.32,95.95,84.08333333,1712.14,63,5.371190061,75.41612123,2.3413605,25.3037363,25.40956111,0.9144345,2.586265749,99.62370418,114.5672598,1369.712,20.36166667,24.445
746.09,28.12333333,17.75333333,97.29333333,85.22333333,630.4,41,8.034116141,88.372698,2.166351375,22.90769741,23.022625,0.917836667,1.848675853,112.7720258,129.6878296,504.32,20.34583333,25.53083333
625.51,30.16666667,15.43333333,90.03,62.70333333,29.57,4,9.494245556,91.24163344,1.718664375,27.29309222,27.39280833,0.763913083,0.86068656,123.196366,141.6758209,23.656,19.11666667,26.48333333
530.32,32.49666667,18.94333333,87.62,56.25333333,157.06,20,9.213488,91.19276391,1.64223675,31.08937074,31.14900833,0.7206755,0.996875474,154.1898547,177.318333,125.648,22.33166667,29.10833333
568.4,25.44666667,18.57666667,86.11,86.25,1873.9,72,4.9747396,74.81508235,2.285453625,26.91384815,26.99706944,0.877415833,3.323736539,105.3707643,121.1763789,1499.12,20.29416667,23.72916667
598.81,28.08333333,17.60666667,86.29333333,78.34,498.07,32,8.358881733,90.36618208,1.940373,22.20158593,22.32652685,0.82731725,1.982041437,123.2381599,141.7238839,398.456,20.22583333,25.46416667
579.16,30.50333333,15.25666667,82.93,62.24666667,65.12,4,9.405693677,90.37568468,1.6402995,27.80663148,27.90013426,0.726426,0.834409111,127.0331059,146.0880718,52.096,19.06833333,26.69166667
602.38,31.53666667,18.93333333,89.17333333,61.69333333,471.65,28,8.437509912,90.45142073,1.7800065,30.61516519,30.68198981,0.75826375,1.215277399,144.968857,166.7141855,377.32,22.08416667,28.38583333
580.87,26.26666667,18.7,89.65666667,82.87666667,1426.24,72,6.253028667,81.35754323,2.20336125,26.73151333,26.81643704,0.874552,3.067355788,111.3805568,128.0876403,1140.992,20.59166667,24.375
652.15,28.2,17.64333333,90.03333333,77.64333333,605.45,41,8.094250244,89.59544675,1.994727,23.41110333,23.52419074,0.84342875,1.909574701,119.8452495,137.8220369,484.36,20.2825,25.56083333
579.64,30.73,15.5,89.51666667,67.09,51.4,3,9.441120589,90.14517204,1.766261625,27.67633741,27.77350833,0.783461667,0.859578741,125.9459304,144.8378199,41.12,19.3075,26.9225
481.57,32.57,18.71,90,59.47666667,284.41,24,8.898898804,91.1186292,1.729170375,31.43962556,31.50622315,0.749753417,1.119860979,151.4102086,174.1217399,227.528,22.175,29.105
566.66,26.66,18.85333333,89.73,80.55,1238.89,59,6.544147304,83.19583169,2.142821625,28.27261074,28.35444815,0.861724083,3.028018398,114.2972726,131.4418635,991.112,20.805,24.70833333
551.81,28.98666667,17.89333333,88.47333333,74.26333333,477.7,30,8.411622133,90.05289502,1.91508225,24.53511741,24.6399213,0.817664167,1.827250493,125.3097445,144.1062062,382.16,20.66666667,26.21333333
480.31,32.06666667,15.04333333,87.56,55.58333333,40.11,4,9.466715732,90.31910371,1.61258325,28.72597444,28.8064787,0.716050917,0.777687921,130.6865398,150.2895208,32.088,19.29916667,27.81083333
474.71,32.18,19.1,90.33333333,66.66666667,201.67,15,9.105081844,91.86479269,1.798294125,31.90361815,31.96268981,0.786680583,1.232023261,151.2193615,173.9022657,161.336,22.37,28.91
539.05,27.29666667,19.39333333,93.33333333,83,1176.01,57,6.705000787,83.99813288,2.19899925,28.53174444,28.62311944,0.89146675,3.051192611,113.8248371,130.8985626,940.808,21.36916667,25.32083333
527.55,29.06666667,17.71666667,89.66666667,72.66666667,411.32,24,8.573894367,90.91362998,1.898109375,25.22662963,25.33292593,0.815094333,1.763318045,125.4273522,144.2414551,329.056,20.55416667,26.22916667
478.39,32.06,14.92,85.66666667,52,1,0,9.56049676,91.39462644,1.54365225,29.14925926,29.22505556,0.688341667,0.731216786,131.389807,151.0982781,0.8,19.205,27.775
490.27,31.41,18.70333333,91.66666667,68.33333333,567.62,31,8.198534681,90.74026324,1.900791,32.0427037,32.09333333,0.804730167,1.448976142,140.877613,162.0092549,454.096,21.88,28.23333333
572.7,26.8,18.61333333,94.65333333,85.33333333,1790.76,69,5.180177152,75.20424739,2.3555085,25.52330222,25.62263704,0.914856333,2.717505583,100.5271427,115.6062141,1432.608,20.66,24.75333333
610.08,29.18333333,17.89,94.33333333,84.66666667,455.05,33,8.472273772,90.72422883,2.093776125,24.02458593,24.14354074,0.898792083,1.492712062,122.2995914,140.6445301,364.04,20.71333333,26.36
566.53,31.01666667,15.77,89.66666667,62.33333333,37.31,3,9.478355396,90.19283326,1.711732125,28.5031763,28.60195556,0.760310917,0.801821378,125.9551316,144.8484013,29.848,19.58166667,27.205
551.56,31.4,19.98333333,90.66666667,69,234.75,15,9.033185733,91.46459794,1.834485,31.12974074,31.19725926,0.800289583,1.452457361,147.2591892,169.3480676,187.8,22.8375,28.54583333
477.4,25.61,20.01333333,95.66666667,87.66666667,2353.37,68,3.77407,65.42270727,2.49862425,25.70023704,25.80112593,0.936278083,3.791455395,86.5032025,99.47868289,1882.696,21.4125,24.21083333
449.76,27.19333333,19.19666667,95,84,803.07,36,7.623082933,87.69860428,2.15910675,20.37594074,20.49692222,0.90169225,2.809966122,108.4858459,124.7587227,642.456,21.19583333,25.19416667
439.24,30.60666667,15.6,90.23,58.76333333,9,1,9.546610667,90.34328661,1.67266425,26.71448481,26.80751944,0.745041667,0.933425956,124.9540627,143.6971721,7.2,19.35166667,26.855
440.79,30.90333333,20.24,94.34333333,81.97333333,739.65,25,7.7910812,86.37633418,2.11649325,30.61538444,30.69116111,0.887747083,1.844752863,132.9707694,152.9163848,591.72,22.90583333,28.2375
510.19,26.41,19.85333333,97,91,1710.48,65,5.391449467,77.49250052,2.430510375,25.27542889,25.39319444,0.954254,3.55026898,97.33113671,111.9308072,1368.384,21.4925,24.77083333
529.88,29.24666667,18.74,97.5,87.36666667,729.16,42,7.800331467,88.29453685,2.211069,23.0178937,23.14552037,0.930409667,2.003453975,114.8300591,132.054568,583.328,21.36666667,26.62
474.47,32.04,13.20666667,88.62,62.07333333,4.92,0,9.537349467,90.38612193,1.69113225,28.6421837,28.7524463,0.753507667,0.709082312,131.2572869,150.94588,3.936,17.915,27.33166667
441.61,34.21333333,16.93333333,91.68,67.65333333,300.22,24,8.840255733,91.75367116,1.84303725,32.6685063,32.72561481,0.7991685,0.729329246,156.9586103,180.5024018,240.176,21.25333333,29.89333333
466.49,28.43333333,19,97,89.16666667,2840.16,71,2.566883467,57.53943364,2.62156875,28.46596926,28.56338889,0.954501333,2.469799865,86.80111118,99.82127786,2272.128,21.35833333,26.075
462.81,29.42,16.72,93.9,82.93333333,710.29,40,7.826972267,87.82549561,2.117363625,21.37667037,21.50293333,0.89008575,1.412818283,118.4481959,136.2154253,568.232,19.895,26.245
473.54,31.75666667,15.23333333,94.76666667,80.4,40.11,4,9.468928,91.30391172,1.97285925,28.94382222,29.05767222,0.876167583,0.79692632,128.3146771,147.5618786,32.088,19.36416667,27.62583333
563.72,30.55,18.74333333,89.17,64.70666667,288.09,24,8.888512267,90.236285,1.779583875,30.96335963,31.04730556,0.771784083,1.600818825,143.5252232,165.0540067,230.472,21.695,27.59833333
575.26,27.34,20.05,95.36666667,82.57333333,1690.62,69,5.445568533,77.67278832,2.313484875,27.00798407,27.09841019,0.9037885,3.183027129,102.0470886,117.3541519,1352.496,21.8725,25.5175
557.19,28.30666667,18.82333333,90.92666667,76.95666667,448.61,29,8.4939068,90.62094502,1.96749975,23.61986852,23.72481852,0.843155083,2.171332854,121.778627,140.0454211,358.888,21.19416667,25.93583333
435.97,30.59666667,15.62666667,82.15666667,53.67,0.4,0,9.568304667,90.38984314,1.522924875,28.05042852,28.13978148,0.679136667,0.82064531,127.5027137,146.6281208,0.32,19.36916667,26.85416667
411.99,31.37333333,19.82,90.39333333,64.53333333,239.41,25,9.0209884,91.47136102,1.782055125,31.11984444,31.17197315,0.776628417,1.292486301,147.2376687,169.3233191,191.528,22.70833333,28.485
539.95,27.68333333,20.31666667,95.68333333,86.43666667,2196.48,63,5.0932632,70.99085594,2.45529,26.65636037,26.74546759,0.928904,2.673714828,101.1269963,116.2960458,1757.184,22.15833333,25.84166667
565.8,27.78333333,21.01333333,92.68,76.33,677.53,37,7.952633867,89.02683949,2.02290975,22.46963111,22.58733333,0.850696083,3.09782208,115.1375373,132.4081679,542.024,22.70583333,26.09083333
570.81,29,18.86666667,88.7,80.73333333,71.25,8,9.424715733,90.04610433,1.914099375,26.58515185,26.68362407,0.847760417,1.901866362,120.5727841,138.6587017,57,21.4,26.46666667
565.71,31.8,21.16666667,89.5,82.86666667,219.12,25,9.0884612,91.12184564,1.97425125,30.13202963,30.25074907,0.863659333,1.677054368,150.9401426,173.581164,175.296,23.825,29.14166667
600.77,25.46666667,20.63333333,89.03333333,83.2,1398.67,67,6.169605733,80.91894204,2.194689375,27.04414815,27.16059815,0.87282225,4.077516146,109.6352684,126.0805586,1118.936,21.84166667,24.25833333
530.63,26.76666667,18.76666667,88.36666667,82.93333333,663.9,56,7.961967333,89.08526051,2.04648375,22.41818889,22.53668704,0.8620325,2.665305961,116.2313685,133.6660738,531.12,20.76666667,24.76666667
