YPH,Tmin,Tmax,RH830,RH1430,RF,Rday,S,Sday,W,S830,S1430,Sm,ETo,clud,Kc,erf,Tphoto,Tnicto
708,9.333333333,24.23333333,96.93333333,69.10666667,141.1,13,6.269400385,86.41595152,1.89063,11.15297667,11.25661389,0.831375833,91.83731677,0.832142965,105.6129143,113.6,20.50833333,13.05833333
689.5,12.56666667,25.5,93.13333333,73.4,325.8,25,5.543817316,78.70007016,1.930305,9.328577778,9.401774074,0.835381667,106.4145797,1.223269196,122.3767666,260.8,22.26666667,15.8
579.19,15.93333333,18.66666667,96.63333333,94.06666667,3745.5,81,2.157762993,43.37404929,2.84376375,8.625681481,8.738740741,0.9847125,61.24061413,4.645010871,70.42670625,2996.8,17.98333333,16.61666667
577.66,14.16666667,21.5,90.16666667,81,882.7,44,4.394977456,67.33988998,2.08711875,6.658455556,6.787425926,0.863189167,82.49264761,2.69735521,94.86654476,705.6,19.66666667,16
545.21,8.433333333,22.9,84.56666667,72.8,55.8,3,6.874052943,90.00342661,1.7773125,10.21091111,10.31099074,0.787298333,97.3077886,0.744243677,111.9039569,44.8,19.28333333,12.05
601.77,12.93333333,23.53333333,88,70.13333333,511,29,5.301956293,77.05577134,1.87071,9.301140741,9.393333333,0.794925,101.2709743,1.762895455,116.4616204,408,20.88333333,15.58333333
638.99,16.4,19.63333333,94.96666667,92.2,2510.1,67,3.004276574,52.44220523,2.572215,10.63368889,10.74666667,0.956750833,70.71909209,4.532265198,81.3269559,2008.8,18.825,17.20833333
610.59,13.93333333,21,90.43333333,85.8,1001.1,40,4.63683848,69.93079168,2.16640125,8.555607407,8.690592593,0.889509167,83.09346848,2.836383578,95.55748875,800.8,19.23333333,15.7
566.32,7.533333333,22.46666667,84.76666667,64.86666667,62,4,6.813587687,90.29887746,1.691625,9.623192593,9.727777778,0.748683333,95.69516739,0.71798042,110.0494425,49.6,18.73333333,11.26666667
605.44,12.66666667,24,87.33333333,69,469.8,25,5.543817316,79.64667304,1.8427125,8.635566667,8.709944444,0.785581667,104.4087494,1.449264638,120.0700618,376,21.16666667,15.5
555.56,15.33333333,19.33333333,94.33333333,88.66666667,2947,74,2.581019783,47.90812726,2.6074125,8.900666667,9.005351852,0.939558333,68.51601664,4.147321574,78.79341913,2357.6,18.33333333,16.33333333
589.82,13.66666667,21,92,82.66666667,704,47,4.213581689,65.39671371,2.0931,8.251555556,8.376759259,0.8792,79.05567491,2.713680242,90.91402614,563.2,19.16666667,15.5
597.68,7.366666667,22.63333333,87.43333333,70.8,118.8,4,6.813587687,89.35570118,1.799025,9.941003704,10.04453704,0.792156667,95.68734423,0.735592896,110.0404459,95.2,18.81666667,11.18333333
607.13,12.33333333,23.96666667,83.7,50.56666667,349,27,5.422886805,78.35122219,1.57185375,8.3136,8.393101852,0.674241667,105.333473,1.235724607,121.133494,280,21.05833333,15.24166667
645.94,16.23333333,19.8,93.83333333,91.86666667,2394.5,71,2.76241555,49.85130353,2.53404,10.83548148,10.9075463,0.948454167,71.2312239,4.089560697,81.91590749,1915.2,18.90833333,17.125
700.11,14.7,21.9,89.9,82.46666667,740.7,51,3.971720666,62.80581201,2.07388875,9.479792593,9.605296296,0.868005833,81.41643442,2.658604405,93.62889958,592.8,20.1,16.5
718.2,10.7,23.13333333,89.13333333,66.8,87.6,6,6.692657176,88.06025034,1.76686875,11.64974074,11.75786111,0.780396667,93.56767089,1.109984379,107.6028215,70.4,20.025,13.80833333
632.33,13.06666667,24.76666667,82.9,66.86666667,202.7,19,5.906608851,83.53302558,1.718625,10.61647407,10.68762963,0.7505225,112.209494,1.344654179,129.0409181,162.4,21.84166667,15.99166667
711.02,16.56666667,19.6,92.2,93.46666667,2656.5,74,2.581019783,47.90812726,2.582775,10.64042963,10.74978704,0.950470833,71.63519289,4.491466853,82.38047183,2125.6,18.84166667,17.325
660.97,14.76666667,20.6,92.56666667,83.56666667,1142.5,53,3.850790154,61.51036117,2.19174,9.546033333,9.680416667,0.8901875,75.16248542,3.2909932,86.43685824,914.4,19.14166667,16.225
637.88,9.4,22.36666667,82.3,63.76666667,76.5,6,6.692657176,89.35570118,1.65402,10.62815926,10.73139815,0.730970833,95.19779551,0.96244679,109.4774648,61.6,19.125,12.64166667
571.42,13.6,22.76666667,86.46666667,72.46666667,576,46,4.274046945,66.04443913,1.89190875,9.733,9.80662037,0.799466667,93.96903132,2.293474334,108.064386,460.8,20.475,15.89166667
609.55,15.5,18.76666667,94.36666667,91.6,2319.46,75,2.520554527,47.26040184,2.52316875,10.38937407,10.50384815,0.949162167,66.41362226,4.453014426,76.3756656,1856,17.95,16.31666667
661.54,14.16666667,21.43333333,88.46666667,82.4,873.9,55,3.729859643,60.21491032,2.08210125,9.356962963,9.48665,0.861615833,80.44894295,2.576144043,92.5162844,699.2,19.61666667,15.98333333
731.04,9.966666667,22.36666667,85.7,67.36666667,96,8,6.791350981,89.29887746,1.7363625,10.44395926,10.55001852,0.766133333,93.23390372,0.901004087,107.2189893,76.8,19.26666667,13.06666667
763.44,13.06666667,23.66666667,83.13333333,82.73333333,304.9,26,6.866666667,92,1.91903625,10.53522222,10.63661296,0.831874167,115.4025813,1.444643238,132.7129685,243.2,21.01666667,15.71666667
621.75,15.46666667,18.73333333,94.6,92.6,3381.94,80,3.133333333,46,2.73626625,9.891166667,10.01483148,0.964182833,68.71916249,4.491279236,79.02703686,2704.8,17.91666667,16.28333333
573.73,14,22.2,85.66666667,78.5,510.96,33,5.533333333,87,1.9386075,7.415362963,7.54407963,0.825091333,94.28317061,2.263177283,108.4256462,408.8,20.15,16.05
595.52,8.666666667,23.36666667,88.3,60.8,35.84,4,6.68,89,1.68049125,10.44111111,10.53407407,0.745798667,94.83405286,0.749433437,109.0591608,28,19.69166667,12.34166667
641.14,13.2,24.16666667,85.63333333,70.53333333,523.28,26,5.746666667,89,1.85078625,9.551774074,9.625566667,0.785194,108.0526603,1.482095988,124.2605593,419.2,21.425,15.94166667
591.14,15.6,19.2,95.8,94.86666667,3040.6,79,1.006666667,35,2.7111975,9.316759259,9.42595,0.978671667,57.72592008,4.432633637,66.38480809,2432.8,18.3,16.5
627.85,14.43333333,22.23333333,88.33333333,83.4,689.33,45,3.84,88,2.057124375,8.301303704,8.43392963,0.864411083,83.21826507,2.562383991,95.70100483,551.2,20.28333333,16.38333333
640.22,8.833333333,23.16666667,86.1,64.86666667,25.39,3,5.683333333,91,1.699535625,10.99214815,11.09830741,0.755044917,91.57658468,0.805712012,105.3130724,20,19.58333333,12.41666667
612.03,13.16666667,24.2,85,70.3,368.29,21,6.873333333,90,1.811975625,9.618459259,9.693007407,0.779569083,114.4989473,1.658485911,131.6737894,295.2,21.44166667,15.925
613.21,14.71,20.05666667,94.88,91.01666667,2304.17,67,3.133333333,73,2.519458125,11.18836741,11.29819907,0.94868475,72.89194869,3.727242866,83.82574099,1843.2,18.72,16.04666667
630.5,13.76666667,22.5,87.86666667,79.41,718.59,34,4.27,85,2.012518125,8.273775556,8.399457407,0.842371583,86.03604103,2.237658213,98.94144718,575.2,20.31666667,15.95
664.53,8.97,24.07333333,88.2,63.74,33.56,2,5.463333333,90,1.711900125,10.32342963,10.41999722,0.759979667,91.96570047,0.752120425,105.7605555,26.4,20.2975,12.74583333
698.32,13.16666667,25.26666667,86.59666667,75.06333333,251.97,18,6.446666667,92,1.861595625,9.800523704,9.8795,0.81039975,114.4177205,1.353589722,131.5803786,201.6,22.24166667,16.19166667
683.3,15.94333333,21.20666667,93.09333333,89.57666667,1785.11,68,4,75,2.38556625,12.07245889,12.18604444,0.928225917,82.22960345,3.817875758,94.56404397,1428,19.89083333,17.25916667
627.49,13.75666667,22.05333333,90.05333333,83.80333333,810.73,41,5.5,88,2.10387075,10.50829333,10.63418333,0.876039417,90.2092344,2.505591562,103.7406196,648.8,19.97916667,15.83083333
588.21,7.116666667,24.19,89.19,60.13333333,6.1,1,7.51,90,1.67750925,9.650316667,9.753325,0.7466675,102.4634305,0.688750919,117.832945,4.8,19.92166667,11.385
525.51,13.47333333,24.20666667,87.61333333,71.07333333,633.72,33,7.1,92,1.8998085,8.670795185,8.733016667,0.798714333,113.4380368,2.031929127,130.4537423,506.4,21.52333333,16.15666667
558.98,15.46,19.71333333,97.06,94.58333333,2749.02,71,4.233333333,56,2.66747175,9.485952593,9.599659259,0.981125167,74.58136019,4.26922603,85.76856421,2199.2,18.65,16.52333333
596.57,14.45,22.56666667,89.6,81.17666667,567.94,39,3.9,82,2.023561875,9.131591481,9.262183333,0.858616167,83.25848361,2.566104025,95.74725616,454.4,20.5375,16.47916667
620.66,7.28,24.71666667,91.04,62.54666667,80.9,7,7.326666667,91,1.739419125,10.24551148,10.34337407,0.7686075,102.8426481,0.680511378,118.2690453,64.8,20.3575,11.63916667
637.09,13.03333333,25.33333333,91.33333333,76,328.2,25,5.12,85,1.93972125,8.828318148,8.90215,0.839401667,103.5348499,1.106867493,119.0650774,262.4,22.25833333,16.10833333
