YPH,Tmin,Tmax,RH830,RH1430,RF,Rday,S,Sday,W,ETo,clud
149,18.4,24,95,88,1375,21,3.47,24,1.37,85.30806705,3.666467899
153,18.3,22.3,96,92,827,21,3.38,16,1.36,81.71275527,4.357121845
185,17.8,23,93,86,760,17,3.44,24,1.33,81.19969152,3.863559377
209,17.7,23.4,93,85,173,12,3.12,23,1.33,77.74971023,3.681941509
205,17.5,25.3,88,83,232,3,6.1,27,1.3,93.73129386,2.722940778
205,16,24.4,90,83,42,1,7.08,31,1.31,94.87579244,2.518871608
181,12.8,25.6,84,63,11,1,7.57,28,1.25,105.3562846,1.017077205
139,10.7,26.4,87,56,8,7,6.43,30,1.29,98.22887662,0.720384552
137,9.2,28.5,85,44,158,8,6.17,29,1.28,120.3210778,0.663997413
172,14.5,27.9,87,66,132,18,4.08,23,1.31,100.4983472,0.884446971
296,16.7,27.3,87,77,523,20,2.53,19,1.29,91.05997598,1.471319501
217,17.7,25.5,90,82,538,29,1.1,10,1.32,72.83176653,2.621552228
133,17,24.2,90,83,860,18,2.55,19,1.32,82.60538577,2.864402404
156,17.8,22.4,95,88,527,23,2.23,17,1.35,74.52160279,4.141482719
146,17,23.5,91,84,536,16,2.4,26,1.31,76.6147463,3.254259184
162,17,23.4,91,87,278,16,3.47,26,1.31,81.37975493,3.360698492
223,16.9,24.7,91,87,259,0,7.05,31,1.32,95.64429528,2.765788998
183,15.7,25.4,89,84,0,1,6.5,29,1.31,94.47351246,1.957870693
166,11.2,26.8,77,63,5,1,7.5,28,1.19,110.9950662,0.725840974
189,8.8,26.9,85,62,26,0,7.39,31,1.27,104.9501746,0.671129302
195,12,28.1,81,51,0,5,6.15,29,1.23,118.0840638,0.715605893
287,13.7,29.5,84,53,82,7,5.12,28,1.27,113.5097077,0.719991268
296,16.6,28.8,84,64,155,26,2.05,12,1.27,92.5338483,1.120854819
223,18.1,27.5,80,72,916,30,0.14,3,1.22,76.20897359,1.968421828
195,18.2,24.1,91,85,1504,22,2.16,16,1.32,79.84113864,3.648018333
151,18.5,22,95,92,835,28,1.53,10,1.35,69.41995069,4.578212714
228,17.7,24,93,85,736,18,3.46,26,1.34,82.7898725,3.457905506
270,18.2,24,93,88,402,3,6.25,28,1.33,99.46591613,3.72918728
230,16.8,25.8,91,85,55,2,6.08,26,1.33,93.33314354,2.261781525
225,13.7,27,86,73,53,1,8,31,1.28,107.4166743,0.950909409
155,13.5,26.9,80,65,8,3,6.19,28,1.23,103.3007841,0.966879595
141,8.9,27.9,83,54,17,14,4.41,27,1.26,93.81346838,0.667494701
204,12.8,28,86,57,197,4,5.44,28,1.29,112.109885,0.778748978
290,14.2,27.8,78,67,108,8,5.33,31,1.19,112.5266702,0.926944498
266,15.8,28.1,87,78,71,26,1.56,16,1.31,86.6325255,1.09332762
275,16.1,27.8,85,80,533,25,1.44,13,1.28,82.90007446,1.169861428
205,17.7,24.8,93,87,797,23,2.31,19,1.34,80.02242061,3.024761831
218,17.9,23.6,94,87,760,15,4.33,22,1.34,91.26418619,3.698290555
215,18.3,24.1,94,88,427,16,3.46,22,1.35,82.53374068,3.650364635
251,17.2,25.6,90,81,327,2,4.44,24,1.31,92.55472758,2.419611474
288,18,26.1,88,81,22,3,6.07,28,1.3,95.31333185,2.693787169
249,15.9,26.7,84,74,83,0,8.4,31,1.26,109.8792638,1.611993789
254,14.2,26.8,84,69,0,0,9.6,28,1.25,119.4432467,1.148680159
214,11.7,27.9,79,54,1,8,6.5,31,1.21,103.4269686,0.728650012
247,13.9,30,77,44,191,2,5.5,27,1.19,120.2262663,0.730284072
300,16.3,29.6,83,64,32,10,4.1,28,1.27,107.5531364,0.994884237
346,15.6,29.7,88,68,201,23,2.4,18,1.32,96.7119983,0.827433109
284,17.8,27.8,89,79,463,27,0.5,7,1.33,73.6725311,1.800077159
204,18.3,25.5,92,83,1287,23,1.4,18,1.35,76.16557208,3.07799309
155,19.3,22.9,94,90,376,19,2.4,19,1.35,77.41785877,4.568418272
152,19.2,24.4,94,86,644,13,5.3,28,1.36,95.58465815,4.000286979
214,19.3,24.8,92,86,372,10,4.5,28,1.33,90.74120085,3.925474985
213,18.1,26.2,90,82,165,8,5.6,29,1.32,91.76005497,2.802070831
201,17.3,26.7,87,78,73,2,7.19,31,1.3,103.0925286,2.307010956
