YPH,Tmax,Tmin,RH830,RH1430,RF,Rday,S,Sday,W,ETo,clud
189,32.1,20,94,66,9.4,2,9.54,31,1.8,149.5369112,0.934170279
185,32.1,22.1,94,69,55.3,7,9.23,30,1.86,147.2333831,1.424133493
195,31.5,22.5,94,73,109.6,12,8.83,30,1.93,147.806666,1.732343263
206,24.5,21.1,98,89,748.6,26,4.09,23,2.51,82.08821407,4.498241162
202,24.6,20.4,95,85,1041.9,27,1.91,18,2.6,73.07169422,4.165901903
201,24.1,19.9,96,87,438.01,21,6.37,28,2.3,100.2526637,4.156260051
154,27,20.1,97,81,100.9,9,8.87,31,2.06,120.2200811,2.750882321
142,25.2,21.7,91,88,174.9,13,8.34,30,2.11,116.0061161,4.485007076
138,25.2,21.3,90,82,89.6,8,8.96,31,1.97,107.9236519,4.363557598
143,26,19.9,85,75,0,0,9.61,31,1.8,113.7659341,3.361707342
117,26.4,19.6,82,66,0,0,9.61,31,1.65,119.2202422,2.999511648
117,28.1,19.5,91,73,18.5,3,9.47,29,1.85,115.5287034,2.060097775
122,32,16.7,93,60,0,0,9.58,31,1.72,151.6489605,0.676629204
128,30.8,18.8,94,73,76.5,5,9.03,30,1.91,141.5579283,0.864377581
216,29.4,19.4,96,79,194.1,9,8.18,30,2.06,132.2113009,1.277375885
207,25.5,19.2,98,86,1014.1,19,2.1,18,2.63,71.40099857,3.067436791
160,24.2,18.7,98,89,991.6,31,2.26,19,2.65,70.77788944,3.502367222
156,24.3,18.9,98,86,567.8,27,5.4,26,2.37,91.84700042,3.56154744
166,25.7,18.8,98,85,262.4,20,7.66,29,2.2,107.0308233,2.778489416
241,26,17.6,97,84,210.1,11,8.03,30,2.15,108.9976325,2.066364529
202,25.9,18.1,96,79,240.1,13,7.82,30,2.1,96.67005963,2.451777906
178,28.2,14.6,91,64,0,0,9.56,31,1.74,115.8275102,0.76033419
134,29.6,13.7,92,60,0,0,9.55,31,1.7,123.0779464,0.678582015
133,30.3,15.8,91,62,11.2,2,9.49,28,1.72,122.3502871,0.728539216
182,30.1,18,96,71,40.8,4,9.29,31,1.9,139.0638481,1.002037174
196,30.9,19.2,96,74,107.2,9,8.81,30,1.96,138.1132321,1.079281062
232,30.4,19.8,95,77,170.3,12,8.35,30,2.02,138.1432885,1.378172688
226,25.7,19.4,97,84,638.5,22,4.88,25,2.39,91.12256569,3.34517084
196,24.3,18.6,98,88,864.4,28,3.2,21,2.57,77.13922965,3.619186234
158,24.9,18.4,98,86,529.4,25,5.68,26,2.36,95.67930789,3.201698934
200,26.2,17.4,97,84,61.6,13,9.13,31,2.06,119.3904521,2.086484047
240,26.2,18.5,98,85,279.7,22,7.53,29,2.21,104.6474498,2.714771882
219,27.4,17.7,94,77,97.9,10,8.86,31,1.98,109.233999,1.826575653
203,27.5,15.9,94,72,55.5,5,9.16,31,1.9,109.1705919,1.228495717
171,29.7,14.8,94,62,1.1,0,9.55,31,1.74,121.6752674,0.7442093
177,30.2,17.4,97,68,3.9,1,9.56,28,1.85,118.8474679,0.98645348
160,32.1,16.5,95,64,30.5,3,9.35,31,1.8,149.8631901,0.703571249
178,29.7,19.2,96,77,118.1,10,8.73,30,2.01,133.2453237,1.474722144
214,29.7,19.6,95,77,232.6,14,7.89,30,2.06,132.400852,1.538368907
167,24.3,18.7,97,89,1010.5,28,2.12,18,2.65,70.39601385,3.66942639
135,23.8,18.5,97,88,1601,31,0.1,12,2.97,57.29238111,3.80562775
128,25.4,18.2,95,85,379,20,6.79,28,2.23,107.798108,2.844734091
186,26.4,17.7,96,82,307.1,14,7.32,29,2.18,109.3198095,2.179950433
239,25.5,18.3,98,85,503,26,5.87,27,2.34,92.13184627,3.036170856
227,26.8,17.4,94,77,135.5,8,8.58,30,2,105.5085102,2.09240959
165,29.3,14.1,92,65,0,0,9.56,31,1.76,119.7476832,0.751265051
124,28.9,14.4,94,66,3.6,1,9.53,31,1.8,118.6517177,0.817523161
124,30.7,18.1,96,67,0,0,9.59,28,1.82,120.9374414,1.132557123
130,31.7,16.7,94,67,2.1,0,9.56,31,1.81,150.2023411,0.772172756
163,31.2,19,95,73,111.22,11,8.78,30,1.94,140.6160048,1.152963133
241,28.5,19.6,96,80,225.31,16,7.94,30,2.1,127.9040206,2.310170519
214,24.5,17.7,94,82,418.81,19,6.49,28,2.21,101.4188517,3.279463491
183,22.8,18.1,97,85,820.38,27,3.52,22,2.5,77.88164713,4.206244474
182,20.7,16.4,88,70,498.32,23,5.15,25,2.05,93.38824352,4.35581221
189,20.5,17.6,91,76,380.11,12,6.77,28,2.09,94.42690773,4.761040944
277,24.9,14.9,91,75,187.93,12,8.17,30,1.96,111.0757788,1.902624523
225,27.7,14,96,78,142.87,9,8.5,30,2.04,107.9447001,0.926397441
185,30.3,12.1,88,58,0,0,9.54,31,1.63,125.1084958,0.674678431
144,30.1,12.4,80,63,11.96,1,9.46,31,1.62,131.5328287,0.686774234
115,31.2,10.3,81,64,0,0,9.53,29,1.62,131.6824157,0.663342982
120,32.9,14.6,93,60,4.92,1,9.52,31,1.72,154.6954376,0.677166491
174,30.2,18.3,96,77,179.5,14,8.27,30,2.04,132.0243202,1.364810385
246,30.8,18.2,93,76,78.49,6,3.79,23,1.94,109.1918201,1.15369879
210,26,18.2,95,84,765.4,18,3.93,23,2.45,88.97277599,2.959509296
227,24.2,17.3,94,86,810.46,23,3.59,22,2.48,84.98417332,3.36091022
196,24.6,17.8,95,87,346.72,24,7.02,29,2.23,107.0550879,3.396770546
221,25.3,17.1,97,87,252.32,21,7.72,29,2.21,107.1125907,2.760085553
220,26,17.3,96,84,332.99,15,7.12,29,2.21,103.6975638,2.608174926
242,27.8,16.5,92,78,26.05,5,9.38,31,1.92,115.2204161,1.620656406
194,27.6,14.4,94,75,148.89,7,8.46,30,1.97,107.2157996,1.148369783
174,28.8,14.3,95,69,0,0,9.56,31,1.84,118.467168,0.922338959
184,31,14.8,95,64,7.7,1,9.5,28,1.79,123.9633605,0.751083873
179,31.3,15.3,96,68,48.94,5,9.21,31,1.88,145.573696,0.741752492
202,31.7,16.6,87,72,61.94,7,9.12,30,1.82,150.7977939,0.774553315
203,30.8,16.9,92,76,169.31,9,8.33,30,1.99,143.003484,0.84451278
229,28.1,17.4,92,80,517.45,19,5.76,27,2.22,109.8589603,1.491974115
186,25.3,18.7,97,89,1036.52,30,1.93,18,2.67,72.85093148,3.34412866
188,26.4,17.7,95,84,638.7,27,4.86,25,2.37,98.35448211,2.263121943
229,27.3,19,97,83,130.59,12,8.64,30,2.1,119.8042753,2.490874473
272,27,18.3,97,85,246.08,16,7.77,29,2.18,110.7829236,2.379734636
263,26.1,18.8,98,86,192.18,18,8.18,30,2.17,97.00190072,3.130253665
254,28,17.1,97,78,72.55,8,9.05,31,2,106.740929,1.580501901
217,31,16.5,94,67,8.45,1,9.51,31,1.81,126.0649094,0.818746564
190,31.5,17.3,95,69,0,0,9.58,28,1.85,125.8790172,0.836839163
191,30.1,18.3,93,72,43.28,4,9.27,31,1.88,141.3312384,1.257961513
193,31.6,20.3,94,74,54.55,5,9.21,30,1.92,144.7607033,1.347672816
228,31.2,20.5,95,78,114.37,7,8.77,30,2.01,144.369182,1.491179294
235,27,19.4,97,86,834.28,24,3.43,22,2.52,85.52283971,2.832573471
184,25.1,19.1,97,88,819.44,28,3.54,22,2.55,82.52346588,3.582411598
213,25.3,19,99,88,315.51,21,7.27,29,2.28,106.825597,3.425898959
170,25.2,18.5,97,89,265.77,21,7.63,29,2.24,106.22904,3.257374135
188,26,18.2,97,84,272.44,17,7.58,29,2.19,105.6670225,2.769969069
210,26.6,17.7,95,81,120.02,8,8.7,30,2.05,104.5060121,2.275388547
202,27.8,16.3,96,76,71.98,7,9.04,31,1.97,107.2447861,1.320606146
161,31.4,15.1,96,63,0,0,9.56,31,1.78,127.3708995,0.697814316
159,31.6,16.5,93,64,17.25,2,9.45,28,1.77,125.9968855,0.761397044
164,32.1,17.9,96,70,8.44,2,9.53,31,1.87,149.7006755,0.825516442
170,31.4,18.9,94,76,79.57,5,9.01,30,1.95,145.0224533,1.055382301
187,26.5,19.3,98,87,319.16,22,7.24,29,2.25,112.5475548,3.087978869
214,27.3,19,94,83,430.12,17,6.42,28,2.23,108.2348302,2.507506074
198,24.7,17.9,97,86,996.17,29,2.22,19,2.61,73.57981805,3.249953457
167,27.5,18.1,97,83,285.85,17,7.48,29,2.18,117.0564643,2.001337715
270,28.8,17.9,94,82,45.57,6,9.25,31,2,132.4969961,1.482784807
243,26.8,19,100,90,512.14,26,5.81,27,2.41,93.47679431,2.913777845
260,28.8,16.3,99,84,72.69,9,9.04,31,2.09,112.3422869,1.149464906
211,29.3,14,95,70,2.11,1,9.54,31,1.85,117.6817207,0.773705958
174,31,15.7,86,58,26.76,3,9.37,31,1.63,129.0589833,0.78438871
176,30.1,16.6,89,60,0.7,0,9.57,29,1.68,122.8483939,1.023965012
165,33.3,18,86,49,0,0,9.59,31,1.51,157.8775891,0.783620107
165,32.4,19.6,87,61,93.01,10,8.92,30,1.71,151.1053681,1.093742394
170,31.7,19.2,90,59,64.05,10,9.13,30,1.7,153.586607,1.113263922
158,24.8,18.6,86,87,765.25,25,3.93,23,2.38,95.26917932,3.652274341
178,26.4,18.7,87,83,425.92,19,6.45,28,2.15,115.7780627,2.926935613
178,25.2,18.4,84,88,682.73,28,4.54,24,2.32,105.0650508,3.391999662
175,26.8,18.8,90,88,250.26,16,7.75,29,2.14,118.5846019,2.872900219
237,27.5,17.4,85,87,116.16,12,8.73,31,1.99,128.5634079,1.997945811
206,29.9,16.7,84,60,131.65,4,8.6,30,1.69,122.56647,1.075278281
182,29.4,13.4,83,63,3.87,0,9.52,31,1.64,124.1434522,0.751914597
145,30.5,15.1,79,63,0,0,9.56,31,1.59,130.7620161,0.81403069
168,31.6,17.3,87,61,61.25,4,9.13,28,1.69,126.1938494,0.937282045
163,32.3,18.5,90,57,24.64,2,9.41,31,1.66,152.8627327,0.981170057
179,31.1,19,89,60,240.05,12,7.82,30,1.81,137.4549935,1.310654989
268,31.2,19.4,88,68,206.96,14,8.07,30,1.87,144.5888447,1.35400715
193,27.2,18.9,89,79,448.03,24,6.29,27,2.14,112.8697753,2.737698041
166,25.8,18.7,90,85,679.01,23,4.57,24,2.35,99.68874266,3.283150327
160,25.8,18.5,90,85,299.2,25,7.9,30,2.13,121.5831524,3.181218996
199,27.6,18.1,90,78,188.33,14,8.2,30,1.99,124.1730329,2.247681459
251,28.1,17.4,90,79,230.91,18,7.88,30,2.03,121.5705963,1.849558083
245,28.9,17.4,90,76,186.21,9,8.21,30,1.96,113.7921192,1.631484562
204,30,14.8,89,72,32.39,2,9.32,31,1.83,122.9755871,0.858867215
165,30.6,15.2,89,66,14.44,1,9.46,31,1.76,127.7635625,0.844812746
153,31.6,16.5,90,62,4.57,0,9.54,28,1.71,127.0986415,0.875056263
128,34,18,90,53,47.87,3,9.24,31,1.63,157.6703981,0.770814697
159,32.9,18.2,90,59,74.26,10,9.05,30,1.71,152.6203124,0.863714154
177,30.8,19.9,90,67,162.28,11,8.41,30,1.85,143.9399154,1.725054085
211,27.4,19.4,90,83,412.43,22,6.55,28,2.17,113.9310738,2.960809456
175,26.5,18.7,90,79,274.56,17,7.57,29,2.05,120.9887407,3.033655309
131,26.1,18.4,89,80,551.9,20,5.51,26,2.21,107.9720033,3.089590428
160,29.4,17.3,86,72,65.46,6,9.1,31,1.81,138.8031817,1.37233526
201,28.1,18.5,89,80,378.4,19,6.8,28,2.11,115.4906719,2.383954198
202,29.4,17.9,90,71,33.84,5,9.34,31,1.82,121.63538,1.72546202
155,31.1,13.7,82,54,0.35,0,9.55,31,1.53,129.0263702,0.727503451
123,32.9,14.3,89,54,14.43,2,9.46,31,1.61,135.2128813,0.692017633
132,32.2,17.1,92,59,25.33,2,9.4,28,1.71,127.820368,0.91354268
135,32.8,18.1,90,58,64.05,4,9.12,31,1.7,152.8351335,0.935500692
158,31.6,19.4,92,73,105.6,8,8.82,30,1.91,144.1999977,1.433633364
178,32.2,19.8,89,69,32.02,3,9.37,31,1.79,156.6229533,1.326935726
144,28.4,19.5,93,80,410.4,15,6.57,28,2.17,114.6884286,2.611394998
174,26,19.1,94,86,497.03,23,5.92,27,2.3,103.9578846,3.495726222
182,27.6,19.7,93,83,268.58,19,7.62,29,2.13,122.828198,3.046456613
176,28.9,17.3,89,70,88.54,6,8.93,31,1.83,134.6336458,1.571466458
209,28.1,18.6,94,84,259.06,15,7.68,29,2.14,116.1484604,2.4457683
178,30.3,17.3,86,64,63.72,3,9.11,31,1.72,125.4999505,1.272719377
152,31.2,14.1,83,52,0,0,9.56,31,1.51,128.8542614,0.732341221
113,31.8,14.9,89,54,0,0,9.56,31,1.6,131.455157,0.742905398
115,33.2,15.8,85,50,1,0,9.56,29,1.51,133.8600026,0.71840374
101,34,17.5,87,49,36.26,3,9.32,31,1.54,159.2202422,0.740294289
191,32.1,19.5,92,73,218.43,11,7.99,30,1.97,141.6800107,1.206671982
213,28.2,19.1,96,83,312.93,17,7.29,30,2.18,121.7325861,2.399962155
198,26.5,18.8,94,86,897.23,22,2.96,21,2.52,83.7409082,2.988354635
200,27.1,18.7,97,89,318.55,25,7.24,29,2.27,112.9927239,2.618560529
144,26.8,18.3,93,81,574.98,22,5.34,26,2.28,104.8477959,2.545601586
213,29.3,18.2,96,87,124.24,11,8.69,30,2.12,128.2065764,1.485154863
215,29.5,18,96,90,221.58,14,7.95,30,2.21,122.4058586,1.42765369
202,28.8,17.5,91,77,109.23,8,8.77,31,1.95,116.2863391,1.565327633
178,30.4,14.4,90,66,0,0,9.56,31,1.75,124.622076,0.737725943
155,30.2,16.1,95,65,37.31,3,9.3,31,1.82,121.1262284,0.913269125
156,32.4,16.8,84,56,0,0,9.58,28,1.57,132.1170903,0.754469067
160,32.7,18.7,88,56,8.8,2,9.53,31,1.62,156.0923992,0.868541161
208,30.4,20.4,93,76,144.28,9,8.55,30,1.98,136.9264939,1.844586938
215,31.1,20.8,91,75,81.67,4,9.02,30,1.91,148.7586745,1.644243985
146,26.4,20.4,95,88,696.84,20,4.45,24,2.45,92.26233797,3.62658771
143,24.6,20,98,91,1192.56,28,0.7,14,2.79,60.90823772,4.219747852
127,25.9,19.7,94,84,463.97,20,6.18,27,2.26,106.3390318,3.528030623
150,26.1,19.8,95,88,372.93,17,6.85,28,2.26,105.5345443,3.537081256
174,27.6,19.4,97,86,300.25,14,7.38,29,2.22,109.407279,2.694324652
149,27.9,18.4,93,78,129.89,5,8.63,30,1.99,110.5157143,2.198492459
149,28.4,16.5,92,62,9,1,9.51,31,1.73,114.4942945,1.354411061
